cik,companyname,entityid,marketoperator,markettier,primaryexchange,primarysymbol,siccode,sicdescription
6201,AMERICAN AIRLINES GROUP INC.,8717,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,AAL,4512,"Air Transportation, Scheduled"
6207,AMREP CORP.,7501,NYSE,NYSE,NYSE,AXR,2721,"Periodicals: Publishing, or Publishing and Printing"
6260,ANACOMP INC,1161,OTC Markets,OTC Pink No Information,OTC,ANMP,3861,Photographic Equipment and Supplies
6281,ANALOG DEVICES INC,11545,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ADI,3674,Semiconductors and Related Devices
6284,ANALOGIC CORP,8785,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ALOG,3825,Instruments for Measuring and Testing of Electricity and Electri
6292,ANALYSTS INTERNATIONAL CORP,3882,,,,,7371,Services-Computer Programming Services
6314,ANAREN  INC,7267,,,,,3663,Radio and Television Broadcasting and Communications Equipment
6383,MOSCOW CABLECOM CORP,3456,,,,,4841,Cable and Other Pay Television Services
6494,ANDREA ELECTRONICS CORP,1781,OTC Markets,OTCQB,OTC,ANDR,3663,Radio and Television Broadcasting and Communications Equipment
6571,ANGELICA CORP /NEW/,8506,,,,,7200,Services-Personal Services
6720,"OUTDOOR SPORTS GEAR, INC.",2078,,,,,3949,"Sporting and Athletic Goods, Not Elsewhere Classified"
6732,BE INDUSTRIES INC.,99868,OTC Markets,OTCQB,OTC,NACG,3560,General Industrial Machinery And Equipment
6769,APACHE CORP,3940,NYSE,NYSE,NYSE,APA,1311,Crude Petroleum and Natural Gas
6814,COMFORCE CORP,66,,,,,7363,Services-Help Supply Services
6845,"APOGEE ENTERPRISES, INC.",11973,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,APOG,3231,"Glass Products, Made of Purchased Glass"
6879,APPALACHIAN POWER CO,9247,,,,,4911,Electric Services
6885,STAGE STORES INC,10609,NYSE,NYSE,NYSE,SSI,5651,Retail-Family Clothing Stores
6948,INNOVATIVE MICRO TECHNOLOGY INC,9577,,,,,3679,"Electronic Components, Not Elsewhere Classified"
6951,APPLIED MATERIALS INC /DE,2730,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,AMAT,3674,Semiconductors and Related Devices
6955,ACTUANT CORP,1718,NYSE,NYSE,NYSE,ATU,3590,Miscellaneous Industrial and Commercial Machinery and Equipment
7032,"ARAMARK SERVICES, INC.",16891,,,,,5812,Retail-Eating Places
7039,TRECORA RESOURCES,3366,NYSE,NYSE,NYSE,TREC,2911,Petroleum Refining
7059,AFFINITY BEVERAGE GROUP INC,71208,OTC Markets,OTC Pink Limited,OTC,ABVG,6770,Blank Checks
7084,ARCHER DANIELS MIDLAND CO,10859,NYSE,NYSE,NYSE,ADM,2070,Fats And Oils
7286,ARIZONA PUBLIC SERVICE CO,1457,,,,,4931,Electric and Other Services Combined
7323,ENTERGY ARKANSAS INC,10498,NYSE,NYSE,NYSE,EAB,4911,Electric Services
7332,SOUTHWESTERN ENERGY CO,3988,NYSE,NYSE,NYSE,SWN,1311,Crude Petroleum and Natural Gas
7431,ARMSTRONG WORLD INDUSTRIES INC,462,NYSE,NYSE,NYSE,AWI,3089,"Plastics Products, Not Elsewhere Classified"
7536,ARROW ELECTRONICS INC,10480,NYSE,NYSE,NYSE,ARW,5065,"Wholesale-Electronic Parts and Equipment, Not Elsewhere Classifi"
7623,ARTS WAY MANUFACTURING CO INC,4281,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,ARTW,3523,Farm Machinery and Equipment
7789,ASSOCIATED BANC-CORP,2033,NYSE,NYSE,NYSE,ASB,6022,State Commercial Banks
7951,ROBERTSON GLOBAL HEALTH SOLUTIONS CORP,84948,OTC Markets,OTC Pink No Information,OTC,RHSC,6799,"Investors, Not Elsewhere Classified"
8063,ASTRONICS CORP,8929,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ATRO,3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified"
8146,"ASTRONOVA, INC.",9911,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,ALOT,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
8177,ATLANTIC AMERICAN CORP,11445,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,AAME,6311,Life Insurance
8192,ATLANTIC CITY ELECTRIC CO,2395,,,,,4911,Electric Services
8328,"APPLIED MINERALS, INC.",69126,OTC Markets,OTCQB,OTC,AMNL,1400,Mining and Quarrying Of Nonmetallic Minerals (No Fuels)
8411,ATWOOD OCEANICS INC,9793,NYSE,NYSE,NYSE,ATW,1381,Drilling Oil and Gas Wells
8497,ASSURANCEAMERICA CORP,10159,OTC Markets,OTC Pink No Information,OTC,ASAM,6331,"Fire, Marine and Casualty Insurance"
8504,"ENERJEX RESOURCES, INC.",7716,NYSE,NYSE MKT,NYSE MKT,ENRJ,1311,Crude Petroleum and Natural Gas
8598,"AGENT INFORMATION SOFTWARE, INC.",7003,OTC Markets,OTC Pink Current,OTC,AIFS,7374,Services-Computer Processing and Data Preparation
8643,MEDICORE INC,3909,,,,,8090,"Services-Miscellaneous Health and Allied Services, Not Elsewhere"
8670,AUTOMATIC DATA PROCESSING INC,4969,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ADP,7374,Services-Computer Processing and Data Preparation
8734,AMBASSADOR FOOD SERVICES CORP,1484,OTC Markets,OTC Pink No Information,OTC,ABDR,5812,Retail-Eating Places
8818,AVERY DENNISON CORP,11656,NYSE,NYSE,NYSE,AVY,2670,Converted Paper and Paperboard Products (No Contaners/Boxes)
8855,AMERICAN LOCKER GROUP INC,7651,OTC Markets,OTC Pink No Information,OTC,ALGI,2540,"Partitions, Shelving, Lockers, and Office and Store Fixtures"
8858,AVNET INC,7983,NYSE,NYSE,NYSE,AVT,5065,"Wholesale-Electronic Parts and Equipment, Not Elsewhere Classifi"
8868,AVON PRODUCTS INC,1328,NYSE,NYSE,NYSE,AVP,2844,"Perfumes, Cosmetics and Other Toilet Preparations"
8947,AZZ INC,11524,NYSE,NYSE,NYSE,AZZ,3640,Electric Lighting And Wiring Equipment
9092,BADGER METER INC,3683,NYSE,NYSE,NYSE,BMI,3824,Totalizing Fluid Meters and Counting Devices
9096,BADGER PAPER MILLS INC,4140,OTC Markets,OTC Pink No Information,OTC,BPMI,2621,Paper Mills
9128,BAGDAD CHASE INC,39268,,,,,1000,Metal Mining
9235,BKF CAPITAL GROUP INC,9379,OTC Markets,OTC Pink No Information,OTC,BKFG,6282,Investment Advice
9263,MICHAEL BAKER CORP,6808,,,,,8741,Services-Management Services
9326,BALCHEM CORP,4246,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,BCPC,2800,Chemicals and Allied Products
9342,BALDOR ELECTRIC CO,1039,,,,,3621,Motors and Generators
9346,BALDWIN & LYONS INC,1147,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,BWINA,6331,"Fire, Marine and Casualty Insurance"
9389,BALL CORP,7440,NYSE,NYSE,NYSE,BLL,3411,Metal Cans
9466,BALTIMORE GAS & ELECTRIC CO,1463,,,,,4931,Electric and Other Services Combined
9534,BANDAG INC,4502,,,,,3011,Tires and Inner Tubes
9626,BANK OF NEW YORK CO INC,386,,,,,6022,State Commercial Banks
9631,BANK OF NOVA SCOTIA,80755,NYSE,NYSE,NYSE,BNS,6022,State Commercial Banks
9779,FAIRCHILD CORP,5171,,,,,5600,Retail-Apparel and Accessory Stores
9801,BANTA CORP,24,,,,,2750,Commercial Printing
9892,BARD C R INC /NJ/,2734,NYSE,NYSE,NYSE,BCR,3841,Surgical and Medical Instruments and Apparatus
9984,BARNES GROUP INC,9112,NYSE,NYSE,NYSE,B,3490,Miscellaneous Fabricated Metal Products
10048,BARNWELL INDUSTRIES INC,8784,NYSE,NYSE MKT,NYSE MKT,BRN,1311,Crude Petroleum and Natural Gas
10081,BARR PHARMACEUTICALS INC,2345,,,,,2834,Pharmaceutical Preparations
10254,EARTHSTONE ENERGY INC,2715,NYSE,NYSE,NYSE,ESTE,1311,Crude Petroleum and Natural Gas
10329,BASSETT FURNITURE INDUSTRIES INC,7609,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,BSET,2511,"Wood Household Furniture, (No Upholstered)"
10427,BAUSCH & LOMB INC,3873,,,,,3851,Ophthalmic Goods
10456,BAXTER INTERNATIONAL INC,9422,NYSE,NYSE,NYSE,BAX,3841,Surgical and Medical Instruments and Apparatus
10795,BECTON DICKINSON & CO,7018,NYSE,NYSE,NYSE,BDX,3841,Surgical and Medical Instruments and Apparatus
11199,BEMIS CO INC,6339,NYSE,NYSE,NYSE,BMS,2670,Converted Paper and Paperboard Products (No Contaners/Boxes)
11390,BENTHOS INC,7679,,,,,3990,Miscellaneous Manufacturing Industries
11544,BERKLEY W R CORP,1467,NYSE,NYSE,NYSE,WRB,6331,"Fire, Marine and Casualty Insurance"
12040,FLANIGANS ENTERPRISES INC,9044,NYSE,NYSE MKT,NYSE MKT,BDL,5812,Retail-Eating Places
12208,BIO RAD LABORATORIES INC,10455,NYSE,NYSE,NYSE,BIO,3826,Laboratory Analytical Instruments
12239,SPHERIX INC,5969,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,SPEX,6794,Patent Owners and Lessors
12355,BLACK & DECKER CORP,7238,,,,,3540,Metalworkg Machinery and Equipment
12388,BROADBAND WIRELESS INTERNATIONAL CORP,11389,,,,,4813,Telephone Communications (No Radiotelephone)
12400,BLACK HILLS POWER INC,8045,,,,,4911,Electric Services
12570,LEXINGTON PRECISION CORP,3083,,,,,3060,"Fabricated Rubber Products, Not Elsewhere Classified"
12659,H&R BLOCK INC,7387,NYSE,NYSE,NYSE,HRB,7200,Services-Personal Services
12779,BLUE RIDGE REAL ESTATE CO,8002,OTC Markets,OTC Pink Current,OTC,BRRE,6500,Real estate
12927,BOEING CO,11757,NYSE,NYSE,NYSE,BA,3721,Aircraft
12978,MAPLEBY HOLDINGS MERGER CORP,10642,,,,,5110,Wholesale-Paper and Paper Products
13033,COMJOYFUL INTERNATIONAL CO,25170,OTC Markets,OTC Pink No Information,OTC,KJFI,7200,Services-Personal Services
13055,LEFT BEHIND GAMES INC.,242059,,,,,7372,Services-Prepackaged Software
13156,"GALAXY GAMING, INC.",76284,OTC Markets,OTCQB,OTC,GLXZ,7900,Services-Amusement and Recreation Services
13239,HEXION INC.,12364,,,,,2821,"Plastic Materials, Synthetic Resins and Nonvulcan Elastomers"
13372,NSTAR ELECTRIC CO,9663,OTC Markets,OTC Pink Current,OTC,NSARO,4911,Electric Services
13522,REXAM PLC /ADR/,1925,,,,,2650,Paperboard Containers And Boxes
13547,ENTRPRIZE CORP,6859,,,,,1700,Construction-Special Trade Contractors
13573,BOWL AMERICA INC,9867,NYSE,NYSE MKT,NYSE MKT,BWL'A,7900,Services-Amusement and Recreation Services
13606,WHITE ELECTRONIC DESIGNS CORP,1469,,,,,3674,Semiconductors and Related Devices
13610,BOWNE & CO INC,4728,,,,,2750,Commercial Printing
14073,BRESLER & REINER INC,7355,OTC Markets,OTC Pink No Information,OTC,BRER,6513,Operators of Apartment Buildings
14177,BRIDGFORD FOODS CORP,7516,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,BRID,2013,Sausages and Other Prepared Meat Products
14195,BRIGGS & STRATTON CORP,7022,NYSE,NYSE,NYSE,BGG,3510,Engines And Turbines
14272,BRISTOL MYERS SQUIBB CO,919,NYSE,NYSE,NYSE,BMY,2834,Pharmaceutical Preparations
14280,"MSGI TECHNOLOGY SOLUTIONS, INC",3553,,,,,3670,Electronic Components And Accessories
14637,"BNS HOLDING, INC.",9472,,,,,6500,Real estate
14693,BROWN FORMAN CORP,4350,NYSE,NYSE,NYSE,BF'B,2080,Beverages
14707,CALERES INC,8869,NYSE,NYSE,NYSE,CAL,3140,"Footwear, (No Rubber)"
14803,BROWN TOM INC /DE,8981,,,,,1311,Crude Petroleum and Natural Gas
14846,BRT APARTMENTS CORP.,6526,NYSE,NYSE,NYSE,BRT,6798,Real Estate Investment Trusts
14930,BRUNSWICK CORP,11459,NYSE,NYSE,NYSE,BC,3510,Engines And Turbines
15288,"BULLION MONARCH MINING, INC. (OLD)",6436,,,,,6795,Mineral Royalty Traders
15357,CHASE GENERAL CORP,28996,,,,,2060,Sugar And Confectionery Products
15393,BUREAU OF NATIONAL AFFAIRS INC,16959,,,,,2711,"Newspapers: Publishing, or Publishing and Printing"
15486,FORTRAN CORPORATION,4302,OTC Markets,OTC Pink Current,OTC,FRTN,2200,Textile mill products
15511,BNSF RAILWAY CO,14235,,,,,4011,"Railroads, Line-Haul Operating"
15615,MASTEC INC,10595,NYSE,NYSE,NYSE,MTZ,1623,"Water, Sewer, Pipeline, and Communications and Power Line Constr"
15847,BUTLER NATIONAL CORP,1114,OTC Markets,OTC Pink Current,OTC,BUKS,7990,Services-Miscellaneous Amusement and Recreation
16040,CABOT CORP,70,NYSE,NYSE,NYSE,CBT,2890,Miscellaneous Chemical Products
16058,CACI INTERNATIONAL INC /DE/,5935,NYSE,NYSE,NYSE,CACI,7373,Services-Computer Integrated Systems Design
16099,LUBYS INC,3911,NYSE,NYSE,NYSE,LUB,5812,Retail-Eating Places
16104,CAGLES INC,3099,,,,,2015,Poultry Slaughtering and Processing
16160,CAL-MAINE FOODS INC,385,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CALM,200,Agricultural Products-Livestock and Animal Specialties
16317,CALIFORNIA ENGELS MINING CO,2685,OTC Markets,OTC Pink No Information,OTC,CAEN,1000,Metal Mining
16590,CAMBEX CORP,568,OTC Markets,OTC Pink No Information,OTC,CBEX,3572,Computer Storage Devices
16614,CAMCO FINANCIAL CORP,7741,,,,,6036,"Savings Institutions, Not Federally Chartered"
16732,CAMPBELL SOUP CO,8588,NYSE,NYSE,NYSE,CPB,2000,Food and kindred products
16859,MFC BANCORP LTD.,8396,NYSE,NYSE,NYSE,MFCB,6029,"Commercial Banks, Not Elsewhere Classified"
16868,CANADIAN NATIONAL RAILWAY CO,5572,NYSE,NYSE,NYSE,CNI,4011,"Railroads, Line-Haul Operating"
16873,NEXEN INC,8880,,,,,1311,Crude Petroleum and Natural Gas
16875,CANADIAN PACIFIC RAILWAY LTD/CN,71849,NYSE,NYSE,NYSE,CP,4011,"Railroads, Line-Haul Operating"
16918,"CONSTELLATION BRANDS, INC.",1073,NYSE,NYSE,NYSE,STZ,2080,Beverages
16988,CANON INC,76881,NYSE,NYSE,NYSE,CAJ,3861,Photographic Equipment and Supplies
17313,CAPITAL SOUTHWEST CORP,11556,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CSWC,2200,Textile mill products
17485,"LIBERATOR MEDICAL HOLDINGS, INC.",5738,,,,,5912,Retail-Drug Stores and Proprietary Stores
17544,AEROTELESIS INC,413132,,,,,4813,Telephone Communications (No Radiotelephone)
17797,"DUKE ENERGY PROGRESS, LLC.",7674,,,,,4911,Electric Services
17843,CARPENTER TECHNOLOGY CORP,4333,NYSE,NYSE,NYSE,CRS,3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling "
17927,CARROLS CORP,18725,,,,,5812,Retail-Eating Places
18061,CASCADE CORP,33,,,,,3537,"Industrial Trucks, Tractors, Trailors and Stackers"
18072,CASCADE NATURAL GAS CORP,8570,,,,,4924,Natural Gas Distribution
18169,DOLE FOOD CO INC,11988,,,,,100,Agricultural Production-Crops
18172,CASTLE A M & CO,5291,OTC,Grey Market,OTC,CTAM,5051,Wholesale-Metals Service Centers and Offices
18230,CATERPILLAR INC,1532,NYSE,NYSE,NYSE,CAT,3531,Construction Machinery and Equipment
18255,CATO CORP,10391,NYSE,NYSE,NYSE,CATO,5621,Retail-Women's Clothing Stores
18349,SYNOVUS FINANCIAL CORP,9498,NYSE,NYSE,NYSE,SNV,6021,National Commercial Banks
18396,CDI CORP,5570,NYSE,NYSE,NYSE,CDI,7363,Services-Help Supply Services
18498,GENESCO INC,494,NYSE,NYSE,NYSE,GCO,5661,Retail-Shoe Stores
18530,"SCRYPT, INC.",57799,OTC Markets,OTC Pink Limited,OTC,SYPT,7374,Services-Computer Processing and Data Preparation
18532,CENTEX LLC,5259,,,,,1531,Operative Builders
18540,CENTRAL & SOUTH WEST CORP,3518,,,,,4911,Electric Services
18568,COMPASS BANCSHARES INC,5534,,,,,6021,National Commercial Banks
18605,CENTRAL NATURAL RESOURCES INC,7935,OTC Markets,OTC Pink No Information,OTC,CTNR,6792,Oil Royalty Traders
18647,CENTRAL HUDSON GAS & ELECTRIC CORP,10703,,,,,4931,Electric and Other Services Combined
18651,CENTRAL ILLINOIS LIGHT CO,11489,,,,,4931,Electric and Other Services Combined
18654,AMEREN ILLINOIS CO,4388,OTC Markets,OTC Pink Current,OTC,AILIM,4931,Electric and Other Services Combined
18672,CLECO POWER LLC,863,,,,,4911,Electric Services
18675,CENTRAL MAINE POWER CO,1727,OTC Markets,OTC Pink No Information,OTC,CTPPO,4911,Electric Services
18734,AEP TEXAS CENTRAL CO,3654,,,,,4911,Electric Services
18808,CENTRAL VERMONT PUBLIC SERVICE CORP,4941,,,,,4911,Electric Services
18886,WOLVERINE HOLDING CORP.,4677,,,,,1400,Mining and Quarrying Of Nonmetallic Minerals (No Fuels)
18914,CENTURY REALTY TRUST,7931,,,,,6798,Real Estate Investment Trusts
18926,"CENTURYLINK, INC",7620,NYSE,NYSE,NYSE,CTL,4813,Telephone Communications (No Radiotelephone)
18937,CERADYNE INC,10101,,,,,3990,Miscellaneous Manufacturing Industries
19002,"CYBRDI, INC.",6169,OTC Markets,OTC Pink No Information,OTC,CYDI,2836,"Biological Products, (No Diagnostic Substances)"
19149,CHAMPION INDUSTRIES INC,10514,OTC Markets,OTC Pink Current,OTC,CHMP,2750,Commercial Printing
19161,CHAMPION PARTS INC,3727,,,,,3714,Motor Vehicle Parts and Accessories
19252,CHAPARRAL RESOURCES INC,9425,,,,,1311,Crude Petroleum and Natural Gas
19353,CHARMING SHOPPES INC,4023,,,,,5621,Retail-Women's Clothing Stores
19411,MAGELLAN HEALTH INC,4772,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,MGLN,8060,Services-Hospitals
19446,CANTEL MEDICAL CORP,11390,NYSE,NYSE,NYSE,CMD,3841,Surgical and Medical Instruments and Apparatus
19520,CHATTEM INC,2615,,,,,2834,Pharmaceutical Preparations
19584,CHEMED CORP,636,NYSE,NYSE,NYSE,CHE,8082,Services-Home Health Care Services
19612,CHEMICAL FINANCIAL CORP,3318,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CHFC,6022,State Commercial Banks
19617,JPMORGAN CHASE & CO,8702,NYSE,NYSE,NYSE,JPM,6021,National Commercial Banks
19731,CANAL CORP,4063,,,,,2650,Paperboard Containers And Boxes
19745,CHESAPEAKE UTILITIES CORP,4474,NYSE,NYSE,NYSE,CPK,4923,Natural Gas Transmission and Distribution
19871,CHICAGO RIVET & MACHINE CO,9378,NYSE,NYSE MKT,NYSE MKT,CVR,3540,Metalworkg Machinery and Equipment
19913,CHIEF CONSOLIDATED MINING CO,845,,,,,6795,Mineral Royalty Traders
20171,CHUBB CORP,4209,,,,,6331,"Fire, Marine and Casualty Insurance"
20212,CHURCHILL DOWNS INC,11302,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CHDN,7948,"Services-Racing, Including Track Operation"
20232,CHYRONHEGO CORP,4159,,,,,7330,"Services-Mailing, Reproduction, Commercial Art and Photography"
20286,CINCINNATI FINANCIAL CORP,11645,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CINF,6331,"Fire, Marine and Casualty Insurance"
20290,"DUKE ENERGY OHIO, INC.",10767,,,,,4931,Electric and Other Services Combined
20520,FRONTIER COMMUNICATIONS CORP,1735,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,FTR,4813,Telephone Communications (No Radiotelephone)
20629,CSS INDUSTRIES INC,2651,NYSE,NYSE,NYSE,CSS,2771,Greeting Cards
20639,AMBASE CORP,2912,OTC Markets,OTC Pink Current,OTC,ABCP,6512,Operators of Nonresidential Buildings
20740,CLARCOR INC.,8243,,,,,3714,Motor Vehicle Parts and Accessories
20947,CLEVELAND ELECTRIC ILLUMINATING CO,12069,,,,,6189,Asset-Backed Securities
